Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Moldova,MDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-5.68841645689812,2.02369912636084,-6.50442748833535,-3.21640468508649,2.31557343051362,6.33753367174199,8.04993188030451,6.90060304810976,7.66608993191807,7.76187386073548,5.09166887092569,3.23897661930413,8.00538765702161,-5.8812613608102,7.20700852986747,5.87936878134975,-0.576691756215325,9.07306796657757,5.06366348203859,-0.274048788710303,4.4722030874884,4.7721462779549,3.4966089969686,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Monaco,MCO,..,4.17671099912921,3.21244656766213,4.86208199377913,2.80459894764495,-2.3952863241026,3.07805289341792,2.4097329526173,2.84575480264209,2.32995392794741,0.350942736936631,-0.62701533446284,0.708312984752098,-0.497792336736111,0.0143962035572542,0.572802025164606,1.71504350823595,2.03834745321289,4.38030749548346,3.89351980702106,2.17971412904379,0.387662382474787,0.54185885182423,-1.83752891620348,1.24501998878934,1.18295124993833,0.200586634237226,1.305739294161,2.597990204884,2.3662834343144,2.93082836550373,1.17120535351545,-0.00822120275827842,0.0294913154479843,1.4090737581252,0.862701649503478,4.73011477552924,13.3185824073145,-0.334869132502334,-12.1913813660365,0.993333707739026,5.77626027093049,-0.207789358200785,8.29018183789059,5.99076148116389,3.79865846545411,2.54302600472818,-4.21020004167525,5.30456543094968,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Mongolia,MNG,..,..,..,..,..,..,..,..,..,..,..,..,5.64523371835672,3.19349259241805,3.22299049277952,2.91911838407277,6.36272843281238,0.55669948629702,2.27263758579963,1.68221383172684,-5.09644014944722,-10.0838589800463,-10.2910292407586,-4.01127790480012,1.35989194852569,5.5644457452872,1.41653098655188,3.04418311018229,2.46563324572018,2.17852170753896,0.25193833578831,2.00938399689213,3.71778566481167,5.89976697692791,9.40105074422127,5.97868177418648,7.18034816033892,8.76190257937562,7.32480984700427,-2.81570584081712,4.56235968298977,15.1541628086024,10.15919245027,9.43696905004099,5.74536027616632,0.388160070792992,-0.748813700768949,3.39455816245714,5.31725254619168,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.22075116082958,-9.15167409751321,3.27911928477501,0.693871394875885,1.49637032086257,2.07441392827423,4.24115666910845,4.02660186553661,8.43155548724638,6.66268581143312,7.03266417211435,-5.99697335932595,2.54626359900882,3.12007432344627,-2.80558965147975,3.44799975962226,1.68497736098362,3.33242403444412,2.92551635940497,4.70468721379108,5.08258777197874,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Morocco,MAR,2.43170962041353,3.37501547297346,0.341364708977792,1.45081454031626,3.39493987930038,5.22445648241813,8.30770864363343,3.58453219144286,-0.207714949842966,2.26352074840688,1.13485555199193,-4.12305842036744,6.32364290569826,-1.02747368159838,3.96217541079859,3.66323235871783,6.97233675764355,-2.32226962774149,9.72358047063879,0.922968425082175,1.51496009530374,5.28055760222375,-3.82741072629365,-2.43812501638001,8.78605186694426,-6.85699963816192,10.7564471288666,-2.89476059013006,5.85578526872936,-0.179001531532336,0.667222054270368,6.02619696573412,1.89368238566479,4.71081272201397,3.56836884107787,2.08441137587533,6.3220322628889,2.32412362715138,4.66709567607796,2.96436283523114,2.48564602664969,3.8353236533889,1.58051236593685,3.06034375385538,1.22949354840229,3.10311140049744,-0.221495789311248,2.73689499173508,1.64863051376007,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,2.50662165025564,-9.0135756284641,-17.3937460901557,-7.95290669263514,-0.0149655002170874,-2.63691973587376,14.8992263558473,8.44035371063848,6.1013305904863,-0.410304609960008,2.21816091201548,-9.35302343268428,6.24166223678637,2.42326914397466,-1.28050362124003,7.88013754594843,8.3357365839798,7.20201134052894,8.91461178182355,-1.48367976871955,8.95271506783834,6.13208310759509,3.79049730992563,4.78869731268905,3.60235202145873,6.65156626582113,4.7829324416675,4.38359918448288,3.44352291195256,3.60612955908299,4.49111441373786,4.34576820064608,4.04237411124211,4.43455939220347,3.74030376578392,0.884673466748737,0.775389933070514,0.458309215545086,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Myanmar,MMR,2.54158650987452,1.72503267626128,0.082560697007878,-3.23093146981519,2.94707598524857,1.79605688399297,3.69808154711994,3.59549006430886,4.16932256792806,2.89935081383257,5.59548520799744,4.06863434347294,3.36435483704605,2.22405308042704,2.82027706827854,0.858931155644129,-2.90178371017051,-5.72518657075783,-12.8591382540286,2.05126387734806,1.31511182921888,-1.96688450450654,8.33811417844387,4.83211364706176,6.25554644844084,5.68574495280684,5.12426085697946,4.30234365290055,4.51074640115824,9.57610909634646,12.4345718189168,10.1523564418314,10.905189513936,12.7877393128682,12.5928520691399,12.6746888559272,12.2707643903484,11.2682633545549,9.57480688879929,9.84441919138493,8.8751335662113,4.78428985744355,6.44943057184359,7.50854712806968,7.10610606017521,6.18061781450116,5.13503947229263,6.08396011112933,5.55580423750402,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,-1.19698636307338,-2.57587757107505,-4.12492957368204,-2.86744751401432,-2.54342826515968,1.23708361746793,-0.217969217896226,-2.93859827171283,-1.77719785617957,-1.29226993362704,4.97988802233354,4.32263722070248,-3.99356366595912,-0.616879404985269,1.59855777752678,0.988196978909968,2.0931420890242,1.28694123617078,1.4810559407459,1.72103481630452,-0.436584831752114,3.21240810195947,2.70907920914408,10.5848088820967,0.91196929406712,5.28092488858694,3.52563935895975,0.797146712274582,-1.51857185126606,4.14604362138419,3.24811094905522,3.23869440441418,3.78350531828858,4.48420942966257,4.1857243533242,-0.726735433970319,-2.70651858440438,-2.4008197720197,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.7533776824446,8.13493073594753,12.8017658503604,11.1070541251397,7.70896476785137,27.4924503491812,24.637413774384,-2.31779634462414,5.54372364888206,5.55409179280628,7.13107682619648,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Nepal,NPL,0.537389358593444,-3.19453617147396,0.994021806852615,-2.56009922186723,4.07388233876058,-0.729160610099825,2.12251467955215,0.747389437266932,2.08365972433302,0.0721546153419865,-4.52764144459979,5.86856818544619,1.38965100318309,-5.21417905881029,7.17261478762138,3.7470428619157,2.25252835381649,-0.520327696630147,5.32387263789838,1.92984342412966,2.08661083324824,3.6273382721741,1.32434878868293,1.05388326159546,5.38250590915845,0.902048529026871,2.87615777500487,2.7489017725302,0.902670802702659,2.40478880405736,4.28748610688569,3.05231947988378,-1.4125814231938,2.47276220441334,3.28869905625579,2.17222707197541,2.08699375143256,2.17337698527204,4.97464078807666,3.68946227537927,4.31324315760089,3.31387979486209,4.98141892008843,4.40723133138634,6.03223594315516,2.9094421828454,-0.319386312522269,6.78979820096511,4.90794694128547,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Netherlands,NLD,4.83328862392003,3.08385842971475,2.49224328136863,4.57544914536231,2.63126535238105,-0.885418129941087,3.63954443123752,1.91263612061819,2.06633294980286,1.31240536040833,0.543128087670055,-1.46195294370266,-1.69259026780816,1.68361873339755,2.6534038466626,2.10293484304016,2.21813149747534,1.28651501533317,2.77504346156373,3.79556943615857,3.468277547838,1.63505469353649,0.940014999078869,0.554249669414446,2.34216813302019,2.60797340160788,3.02230339282264,3.79338169534631,4.02050290394375,4.33737440997872,3.45353824048497,1.55745814817534,-0.420367773275316,-0.31578966788264,1.63118805185918,1.81269915858344,3.29494988750754,3.54735949519988,1.77335660234053,-4.16103858253555,0.824259960006415,1.07862821355482,-1.39591935084162,-0.424178633897782,1.05910126899116,1.50826615391395,1.64931554652068,2.30428480308397,2.00369176009356,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,New Caledonia,NCL,21.6421976124269,-0.134065367706668,-1.1329088018005,-13.272476518218,10.5503305546725,5.2938174070041,1.15484898383073,0.401297451609594,8.60218893687086,-14.2238317482291,-1.50231521114588,-8.69505721411501,0.256409941414958,-3.97713279005421,-0.18028429929717,2.60553626137747,-2.82459828475072,3.62551671560138,32.0091665384732,8.83982979912419,1.1745710195533,2.23030022993716,-1.96059302413855,-2.02954780293726,-0.109355394458817,3.57106211813505,-1.45576234699006,0.0553130209926422,-5.02093780604164,-0.997607659586336,0.177142856723876,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,New Zealand,NZL,..,2.24668330347299,3.27656419394029,5.71074494246544,3.80605679097501,-3.6249519950408,0.0397431087235276,-4.2349781884915,0.285052198211602,2.59333493273259,1.15725171521788,4.25406513688675,-0.0679810238401046,2.09324685817516,3.89088754246242,0.989037400919528,2.37331623818748,0.104438548417747,-0.627411150376147,-0.318393289494381,-0.767363480054328,-5.76868862312574,0.047073053277245,5.1854147603771,3.73037202909214,3.19988572959791,1.99402128730732,0.713299108844083,-0.0984136148534276,4.90317740628959,2.30047357325512,2.86143814041657,2.87754354170313,2.51971289519044,2.49914941431875,2.16169586522086,1.59793970123241,2.05707353014697,-1.84547780021356,-1.20631984766281,0.416658971912256,1.55688985601536,1.66707487749034,1.79027013692314,2.16084649844561,1.64630892913071,1.4925846682536,0.962158613463629,0.846632297432691,..
